datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
287	0.58443654	2.2230323	6.6807742	160.5319	7.3849282	235.69921	0
288	0.79592788	2.6437261	6.778068	141.42846	7.6211559	244.60104	0
289	0.92528612	3.4962251	8.1503226	159.01429	8.2081046	249.81328	0
290	1.6634738	3.0662209	7.6413801	96.90403	8.3144144	259.2171	5.734401e-05
291	0.24345634	2.3637118	7.9400473	153.46343	8.6115099	253.00492	0
292	0.46182759	2.1647977	7.8837977	57.366307	9.5113955	291.75108	0.00029374235
293	1.7285949	2.0659784	8.2391036	152.40924	8.7225508	274.26845	0.00013243831
294	0.30457103	1.2592926	6.3652934	36.297076	9.1088732	296.93811	0.0006018953
295	0.55967136	-0.95795782	2.8408685	136.48898	6.4732888	237.71849	0.00011923829
296	-1.1521694	-1.2160922	1.8243808	50.963418	6.7772534	283.61203	0.00039882369
297	-0.84459192	-0.028599937	1.8040312	121.25648	6.4521057	255.39163	0
298	-0.49187889	-0.93338822	2.3567812	137.91156	6.6265851	249.29141	0.00010873931
299	-1.6852602	-1.7976787	2.525263	63.278732	6.9175066	306.06888	0.00042096134
300	-1.5467593	-0.15531387	1.5005914	92.659897	6.0803222	258.54309	0
301	-0.58418022	1.6006024	1.9568375	110.43622	6.5194627	276.68203	0.00015080468
302	-0.56942305	-1.1839913	2.7813374	71.275535	7.1894085	290.67424	5.678452e-05
303	0.21254078	-0.6635668	2.841204	78.350537	7.0799275	264.33357	8.1762294e-05
304	1.6357367	0.458504	4.641628	90.083597	8.0089652	303.53343	0.0005082782
305	1.7074666	-1.6199319	4.1436413	35.511562	7.4399836	290.83778	0.00028042179
306	0.90340439	-2.1480702	-1.7188236	106.89764	4.0874859	227.637	7.328037e-05
307	-0.073952823	-1.7219805	-3.2095503	139.62025	3.1237353	183.92882	0
308	-0.81550572	-1.3810009	-2.1070482	136.98517	3.549732	192.89784	0
309	-0.9795568	-1.3216995	0.47027944	126.00274	4.7793673	223.82284	0
310	-1.0231416	-0.76499488	1.6006105	83.835648	6.5666067	275.94538	7.5982648e-05
311	-0.0796435	-0.21447195	1.3449263	110.80921	6.2306672	239.47854	0
312	-0.35347119	-1.0227697	0.6728547	125.24782	5.7361857	224.5781	0
313	-0.96012708	-0.41447057	-0.55673663	121.21958	5.0578427	208.78313	0
314	-0.72959368	0.00098898367	-0.91244938	121.40149	4.3691336	206.32218	0
315	-0.17012616	-0.25913326	-1.0213074	120.08508	4.3334072	205.35649	0
316	-0.14542453	0.23107586	-0.64090943	120.56149	4.3241424	211.58245	0
