Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       55   55.0000       3.47104       3.47104       3.47104       0.00000      0.839107E-04  0.358438E-02  -73.3050      0.393439E-01 -0.574189E-01   193.912       0.00000      -328.669       28.6400      0.500000      0.403501       3.29114      0.486848       0.00000       0.00000       0.00000       0.00000    
       56   56.0000       3.55731       3.55731       3.55731       0.00000      0.405416E-04  0.334747E-02  -66.0039      0.163739E-01 -0.228411E-01   182.825       0.00000      -329.079       28.6400      0.500000      0.391947       3.28847      0.749013       0.00000       0.00000       0.00000       0.00000    
       57   57.0000       3.64068       3.64068       3.64068      0.288803E-01  0.102305E-02  0.303294E-02  -41.0369      -3.72404      -4.59390       144.259       0.00000      -329.476       28.6400      0.500000      0.423141       3.29570      0.890292       0.00000       0.00000       0.00000       0.00000    
       58   58.0000       3.71417       3.71417       3.71417      0.437436E-01  0.154934E-02  0.269553E-02  -77.1250      -2.23515      -6.91725       179.676       0.00000      -329.826       28.6400      0.500000      0.468000       3.30605      0.952291       0.00000       0.00000       0.00000       0.00000    
       59   59.0000       3.78714       3.78714       3.78714       0.00000      0.424458E-04  0.272661E-02  -64.1526      0.128551E-01 -0.294777E-01   199.021       0.00000      -330.174       28.6400      0.500000      0.508300       3.31531       1.01367       0.00000       0.00000       0.00000       0.00000    
       60   60.0000       3.88328       3.88328       3.88328       0.00000      0.487286E-04  0.188814E-02  -62.9536      0.185866E-01 -0.208794E-01   157.355       0.00000      -330.633       28.6400      0.500000      0.528512       3.31993       1.16399       0.00000       0.00000       0.00000       0.00000    
       61   61.0000       3.95025       3.95025       3.95025       0.00000      0.511410E-04  0.137139E-02  -57.6337      0.711770E-02 -0.359403E-01   170.016       0.00000      -330.953       28.6400      0.500000      0.574346       3.33038       1.17854       0.00000       0.00000       0.00000       0.00000    
       62   62.0000       4.03012       4.03012       4.03012      0.837431E-01  0.296428E-02   0.00000      -101.791      -10.3423      -16.1367       180.218       0.00000      -331.334       28.6400      0.500000      0.605377       3.33743       1.24950       0.00000       0.00000       0.00000       0.00000    
       63   63.0000       4.08796       4.08555       4.03012      0.842070E-01  0.298037E-02   0.00000      -104.092      -10.9592      -19.5447       196.805       0.00000      -331.611       26.2534      0.500000      0.685672       3.35559       1.07426       0.00000       0.00000       0.00000       0.00000    
       64   64.0000       4.16281       4.15136       4.03012      0.701839E-01  0.248369E-02   0.00000      -69.8382      -8.03499      -14.8254       169.478       0.00000      -331.969       23.6980      0.500000      0.753747       3.37084      0.955139       0.00000       0.00000       0.00000       0.00000    
       65   65.0000       4.25172       4.22224       4.03012      0.490068E-01  0.173397E-02   0.00000      -87.0255      -7.75127      -10.1675       172.745       0.00000      -332.395       21.0193      0.500000      0.813496       3.38412      0.867162       0.00000       0.00000       0.00000       0.00000    
       66   66.0000       4.33006       4.28318       4.03012      0.631566E-01  0.223430E-02   0.00000      -85.3737      -3.94960      -11.8890       202.762       0.00000      -332.771       19.6880      0.500000      0.867215       3.39597      0.798520       0.00000       0.00000       0.00000       0.00000    
       67   67.0000       4.44823       4.36692       4.03012       0.00000      0.607015E-04   0.00000      -52.2505      0.929438E-02 -0.264304E-01   167.117       0.00000      -333.338       17.5002      0.500000      0.916342       3.40674      0.742874       0.00000       0.00000       0.00000       0.00000    
       68   68.0000       4.55099       4.44889       4.03012      0.120549E-01  0.426286E-03   0.00000      -59.3972      0.636761E-01  -1.02482       187.722       0.00000      -333.832       17.4121      0.500000      0.961616       3.41661      0.696695       0.00000       0.00000       0.00000       0.00000    
       69   69.0000       4.67323       4.54055       4.03012      0.205531E-01  0.726631E-03   0.00000      -56.2259      -7.13625      -8.49460       132.393       0.00000      -334.420       16.8227      0.500000       1.00385       3.42576      0.657431       0.00000       0.00000       0.00000       0.00000    
       70   70.0000       4.75036       4.59479       4.03012      0.967561E-01  0.342019E-02   0.00000      -116.234      -9.63209      -21.0629       191.699       0.00000      -334.792       16.2675      0.500000       1.04332       3.43427      0.623654       0.00000       0.00000       0.00000       0.00000    
       71   71.0000       4.82561       4.64854       4.03012      0.763227E-01  0.269751E-02   0.00000      -94.7740      0.193206      -15.0073       215.044       0.00000      -335.154       15.8899      0.500000       1.08071       3.44229      0.593974       0.00000       0.00000       0.00000       0.00000    
       72   72.0000       4.96810       4.73449       4.03012      0.435395E-01  0.153842E-02   0.00000      -50.6246      -1.44676      -5.84838       185.938       0.00000      -335.842       14.3740      0.500000       1.11621       3.44986      0.567671       0.00000       0.00000       0.00000       0.00000    
       73   73.0000       5.14252       4.83127       4.03012       0.00000      0.472037E-04   0.00000      -83.6680      0.954132E-02 -0.509458E-01   198.346       0.00000      -336.685       12.6130      0.500000       1.14991       3.45702      0.544233       0.00000       0.00000       0.00000       0.00000    
       74   74.0000       5.25688       4.91324       4.03012       0.00000      0.526480E-04   0.00000      -54.9312      0.388887E-01 -0.319817E-01   203.284       0.00000      -337.239       12.5948      0.500000       1.18212       3.46384      0.523110       0.00000       0.00000       0.00000       0.00000    
       75   75.0000       5.40617       5.01942       4.03012       0.00000      0.654718E-04   0.00000      -57.3379      0.469576E-01 -0.270463E-01   211.664       0.00000      -337.963       12.5410      0.500000       1.21297       3.47034      0.503952       0.00000       0.00000       0.00000       0.00000    
       76   76.0000       5.56230       5.12990       4.03012       0.00000      0.740151E-04   0.00000      -50.3908      0.525119E-01 -0.229535E-01   194.304       0.00000      -338.721       12.4748      0.500000       1.24262       3.47656      0.486465       0.00000       0.00000       0.00000       0.00000    
       77   77.0000       5.70904       5.23291       4.03012       0.00000      0.503151E-04   0.00000      -68.5218      0.824109E-02 -0.398690E-01   168.954       0.00000      -339.435       12.3959      0.500000       1.27109       3.48251      0.470454       0.00000       0.00000       0.00000       0.00000    
       78   78.0000       5.81016       5.30471       4.03012      0.185190E-01  0.653294E-03   0.00000      -119.060      -7.23979      -17.7367       217.406       0.00000      -339.928       12.3749      0.500000       1.29849       3.48821      0.455734       0.00000       0.00000       0.00000       0.00000    
       79   79.0000       5.90893       5.37501       4.03012      0.259398E-01  0.914904E-03   0.00000      -51.0125      -5.96442      -12.0543       152.566       0.00000      -340.410       12.3622      0.500000       1.32507       3.49372      0.442049       0.00000       0.00000       0.00000       0.00000    
       80   80.0000       6.03919       5.44763       4.03012      0.289696E-01  0.102151E-02   0.00000      -75.8550      -6.09051      -9.30169       151.045       0.00000      -341.046       11.7742      0.500000       1.35062       3.49900      0.429418       0.00000       0.00000       0.00000       0.00000    
       81   81.0000       6.11958       5.50133       4.03012      0.709543E-01  0.250157E-02   0.00000      -94.0962       1.97430      -13.3623       217.022       0.00000      -341.439       11.6913      0.500000       1.37537       3.50410      0.417643       0.00000       0.00000       0.00000       0.00000    
       82   82.0000       6.27682       5.58931       4.03012       0.00000      0.658085E-04   0.00000      -82.7180      0.286100E-01 -0.537249E-01   209.830       0.00000      -342.208       11.1120      0.500000       1.39955       3.50906      0.406556       0.00000       0.00000       0.00000       0.00000    
       83   83.0000       6.40920       5.68032       4.03012       0.00000      0.739769E-04   0.00000      -42.2640      0.708599E-01 -0.567700E-01   209.711       0.00000      -342.857       11.0910      0.500000       1.42302       3.51386      0.396167       0.00000       0.00000       0.00000       0.00000    
       84   84.0000       6.58798       5.80030       4.03012       0.00000      0.765460E-04   0.00000      -31.9833      0.856254E-01 -0.606687E-01   223.997       0.00000      -343.735       11.0009      0.500000       1.44584       3.51851      0.386400       0.00000       0.00000       0.00000       0.00000    
