Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       84   84.0000       9.01525       7.37611       4.22915       0.00000      0.749098E-04   0.00000      -44.1435      0.518466E-01 -0.100647       279.909       0.00000      -355.822       9.06973      0.501199       1.49439       3.60487      0.456181       0.00000       0.00000       0.00000       0.00000    
       85   85.0000       9.28400       7.54512       4.22915       0.00000      0.718702E-04   0.00000      -50.4518      0.515444E-01 -0.107622       251.167       0.00000      -357.179       8.98268      0.501199       1.51999       3.60920      0.445388       0.00000       0.00000       0.00000       0.00000    
       86   86.0000       9.51165       7.68896       4.22915       0.00000      0.380934E-04   0.00000      -63.5894      0.447131E-01 -0.577845E-01   271.011       0.00000      -358.332       8.92321      0.501199       1.54488       3.61339      0.435250       0.00000       0.00000       0.00000       0.00000    
       87   87.0000       9.74219       7.83763       4.22915       0.00000      0.485392E-04   0.00000      -64.9728      0.499189E-01 -0.862825E-01   288.110       0.00000      -359.503       8.89908      0.501199       1.56921       3.61747      0.425658       0.00000       0.00000       0.00000       0.00000    
       88   88.0000       9.99162       7.99759       4.22915       0.00000      0.640206E-04   0.00000      -75.1400      0.307944E-01 -0.109258       278.517       0.00000      -360.772       8.86633      0.501199       1.59302       3.62146      0.416568       0.00000       0.00000       0.00000       0.00000    
       89   89.0000       10.2193       8.14336       4.22915       0.00000      0.373384E-04   0.00000      -63.8823      0.130537E-01 -0.738142E-01   246.457       0.00000      -361.934       8.83644      0.501199       1.61627       3.62533      0.407959       0.00000       0.00000       0.00000       0.00000    
       90   90.0000       10.4227       8.27420       4.22915      0.402878E-01  0.140872E-02   0.00000      -82.9785      -5.67219      -12.5455       212.864       0.00000      -362.974       8.81751      0.501199       1.63893       3.62909      0.399810       0.00000       0.00000       0.00000       0.00000    
       91   91.0000       10.5840       8.36720       4.22915      0.272717E-01  0.953296E-03   0.00000      -100.414      -8.38165      -17.7460       247.495       0.00000      -363.801       8.70524      0.501166       1.66103       3.63275      0.392084       0.00000       0.00000       0.00000       0.00000    
       92   92.0000       10.7514       8.47255       4.22915      0.322988E-01  0.112866E-02  0.406505E-02  -97.5955      -18.4552      -24.7940       161.421       0.00000      -364.660       8.67276      0.501152       1.68277       3.63634      0.384694       0.00000       0.00000       0.00000       0.00000    
       93   93.0000       10.8187       8.51811       4.23748      0.194500E-01  0.679579E-03  0.448047E-02  -103.193      -23.6047      -29.4125       151.759       0.00000      -365.006       8.67277      0.501406       1.69164       3.63780      0.387108       0.00000       0.00000       0.00000       0.00000    
       94   94.0000       10.8717       8.55271       4.24186      0.160311E-01  0.560067E-03  0.415746E-02  -111.632      -18.9205      -26.4818       191.174       0.00000      -365.279       8.67277      0.501712       1.70626       3.64020      0.385064       0.00000       0.00000       0.00000       0.00000    
       95   95.0000       10.9552       8.60957       4.25277      0.351185E-01  0.122671E-02   0.00000      -100.845      -11.4126      -21.8547       242.583       0.00000      -365.708       8.67278      0.501974       1.71114       3.64100      0.390416       0.00000       0.00000       0.00000       0.00000    
       96   96.0000       11.1132       8.71108       4.25277      0.167598E-01  0.585252E-03  0.375020E-02  -113.240      -19.3658      -29.3157       216.731       0.00000      -366.523       8.66177      0.501951       1.73226       3.64446      0.383475       0.00000       0.00000       0.00000       0.00000    
       97   97.0000       11.2200       8.78514       4.26895      0.199014E-01  0.694811E-03  0.567144E-02  -180.660      -32.9412      -43.6453       250.319       0.00000      -367.074       8.66178      0.502157       1.72905       3.64393      0.394737       0.00000       0.00000       0.00000       0.00000    
       98   98.0000       11.2979       8.83488       4.27287      0.158723E-01  0.554062E-03  0.312701E-02  -116.679      -25.1111      -38.3673       247.816       0.00000      -367.476       8.66179      0.502620       1.74442       3.64644      0.392139       0.00000       0.00000       0.00000       0.00000    
       99   99.0000       11.4317       8.92878       4.29483      0.196857E-01  0.687001E-03  0.541609E-02  -124.788      -29.2980      -36.0434       145.008       0.00000      -368.168       8.66180      0.502759       1.73317       3.64461      0.409681       0.00000       0.00000       0.00000       0.00000    
      100   100.000       11.4373       8.94301       4.28442      0.517638E-01  0.180646E-02  0.485306E-02  -142.583      -28.4736      -38.3197       228.529       0.00000      -368.197       8.79135      0.503169       1.76913       3.65048      0.391302       0.00000       0.00000       0.00000       0.00000    
      101   101.000       11.5286       9.00445       4.29497      0.388426E-01  0.135530E-02  0.516952E-02  -166.041      -27.5579      -40.6524       262.992       0.00000      -368.670       8.79136      0.503502       1.77419       3.65130      0.396171       0.00000       0.00000       0.00000       0.00000    
      102   102.000       11.6319       9.07380       4.30644      0.403360E-01  0.140712E-02  0.517353E-02  -144.845      -28.2842      -37.3679       214.663       0.00000      -369.205       8.79137      0.503874       1.77814       3.65194      0.401944       0.00000       0.00000       0.00000       0.00000    
      103   103.000       11.7078       9.12365       4.31307      0.383878E-01  0.133896E-02  0.589657E-02  -170.613      -31.7390      -41.1408       216.751       0.00000      -369.599       8.79138      0.504242       1.78919       3.65373      0.402418       0.00000       0.00000       0.00000       0.00000    
      104   104.000       11.7613       9.15649       4.31246      0.340213E-01  0.118654E-02  0.538536E-02  -192.662      -21.6447      -47.2302       313.123       0.00000      -369.877       8.79686      0.504716       1.81062       3.65720      0.395193       0.00000       0.00000       0.00000       0.00000    
      105   105.000       11.8891       9.24273       4.32719      0.589690E-01  0.205612E-02  0.233364E-02  -132.245      -8.24171      -31.9536       299.092       0.00000      -370.541       8.79687      0.505108       1.80947       3.65701      0.404445       0.00000       0.00000       0.00000       0.00000    
      106   106.000       12.0583       9.36227       4.35558      0.348490E-01  0.121471E-02  0.395452E-02  -124.143      -12.1580      -23.4920       238.262       0.00000      -371.421       8.79688      0.505180       1.78905       3.65372      0.428402       0.00000       0.00000       0.00000       0.00000    
      107   107.000       12.1763       9.44392       4.37298      0.897042E-02  0.312605E-03  0.530906E-03  -104.424      -11.2874      -20.9524       244.819       0.00000      -372.036       8.79689      0.505384       1.78590       3.65321      0.440107       0.00000       0.00000       0.00000       0.00000    
      108   108.000       12.3180       9.54444       4.39707      0.417255E-01  0.145367E-02  0.361295E-02  -90.9979      -13.6489      -21.6535       174.338       0.00000      -372.776       8.79690      0.505388       1.77420       3.65131      0.459002       0.00000       0.00000       0.00000       0.00000    
